==========================
Emulate THUMB code
Code 0x2000001a, block size = 0x4
  Write 0x20000040, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x20000044, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x20000044, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x20000048, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x20000048, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x2000004c, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x2000004c, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x20000050, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x20000050, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x20000054, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x20000054, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x20000058, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x20000058, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x2000005c, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x2000005c, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x20000060, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x20000060, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x20000064, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x20000064, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x20000068, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x20000068, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x2000006c, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x2000006c, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x20000070, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x20000070, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x20000074, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x20000074, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x20000078, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x20000078, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x2000007c, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x2000007c, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x20000080, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x20000080, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x20000084, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x20000084, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x20000088, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x20000088, block size = 0x4
Code 0x2000001e, block size = 0x2
Code 0x20000020, block size = 0x2
Code 0x20000022, block size = 0x2
Code 0x20000012, block size = 0x4
  Read 0x2000008c, block size = 0x4
Code 0x20000016, block size = 0x4
Code 0x2000001a, block size = 0x4
  Write 0x2000008c, block size = 0x4
